Name,DD.MM
Hilariona,12.07
Faustyn,15.02
Faustyn,17.02
Faustyn,29.07
Erast,26.07
Celiusz,27.07
Nikanora,10.01
Nikanora,05.06
Donacjan,24.05
Donacjan,06.09
Donacjan,14.10
Paramon,29.11
Paramon,12.12
Gliceriusz,15.02
Gliceriusz,20.09
Gliceriusz,21.12
Radogost,14.01
Jerzy,27.01
Jerzy,14.02
Jerzy,19.02
Jerzy,19.04
Jerzy,20.04
Jerzy,23.04
Jerzy,24.04
Jerzy,27.07
Jerzy,24.08
Jerzy,20.10
Jerzy,02.11
Ansegiz,20.07
Heliasz,20.07
Sobieżyr,11.11
Teogenes,03.01
Teogenes,26.01
Teogenes,15.02
Largus,08.08
Largus,12.08
Straton,17.08
Straton,09.09
Eutychian,13.11
Eutychian,07.12
Cieszymysł,13.03
Cieszymysł,18.11
Budzimir,16.03
Penelopa,05.05
Izbylut,29.05
Pacyfik,04.06
Pacyfik,21.09
Pacyfik,24.09
Maurycja,10.07
Arsacjusz,16.08
Arsacjusz,12.11
Gniewosądka,08.02
Talus,11.03
Dezydery,11.02
Dezydery,25.03
Dezydery,23.05
Dezydery,19.09
Benigny,13.02
Benigny,01.11
Benigny,09.11
Milburga,23.02
Oliwier,27.05
Oliwier,02.09
Aurelian,16.06
Aurelian,04.07
Aurelian,16.10
Bonifacja,08.08
Gaspar,25.09
Greta,12.01
Dobromiła,04.10
Dobromiła,11.10
Eustachiusz,04.02
Eustachiusz,20.02
Eustachiusz,20.09
Eustachiusz,12.10
Roksana,15.07
Roksana,14.09
Grzegorz,02.01
Grzegorz,04.01
Grzegorz,10.01
Grzegorz,11.02
Grzegorz,12.02
Grzegorz,13.02
Grzegorz,09.03
Grzegorz,12.03
Grzegorz,24.04
Grzegorz,26.04
Grzegorz,04.05
Grzegorz,09.05
Grzegorz,25.05
Grzegorz,13.06
Grzegorz,25.08
Grzegorz,03.09
Grzegorz,30.09
Grzegorz,16.10
Grzegorz,17.11
Grzegorz,20.11
Grzegorz,23.11
Grzegorz,28.11
Grzegorz,10.12
Grzegorz,19.12
Grzegorz,24.12
Pakosław,15.02
Pakosław,05.03
Kwiryna,30.03
Kwiryna,04.06
Klotylda,03.06
Klotylda,23.10
Domabor,28.10
Mścisław,08.01
Godzisław,22.03
Godzisław,01.12
Godzisław,24.12
Godzisław,28.12
Siemidrog,12.04
Meriadok,07.06
Siemowit,18.10
Adela,23.11
Adela,24.12
Eufemia,19.01
Eufemia,20.03
Eufemia,16.09
Teodoryk,27.01
Teodoryk,02.02
Teodoryk,01.07
Teodoryk,09.07
Teodoryk,25.08
Teodoryk,07.09
Teodoryk,15.10
Gaudenty,22.01
Gaudenty,12.02
Gaudenty,19.06
Gaudenty,25.08
Gaudenty,14.10
Gaudenty,25.10
Dominik,22.01
Dominik,16.02
Dominik,09.03
Dominik,11.03
Dominik,26.04
Dominik,12.05
Dominik,06.07
Dominik,04.08
Dominik,08.08
Dominik,27.08
Dominik,14.10
Dominik,05.11
Dominik,27.11
Dominik,20.12
Dominik,29.12
Nazary,10.05
Nazary,12.06
Nazary,28.07
Aidan,31.08
Marta,19.01
Marta,22.02
Marta,23.02
Marta,18.03
Marta,21.06
Marta,05.07
Marta,29.07
Marta,19.09
Heladia,08.01
Heladia,18.02
Heladia,08.05
Heladia,25.05
Heladia,28.05
Marcjanna,09.01
Marcjanna,25.05
Marcjanna,12.07
Dobrosiodł,29.02
Borzysław,25.05
Borzysław,19.06
Nikomedes,15.09
Wendelin,21.10
Tworzysław,31.12
Jan Nepomucen,05.01
Jan Nepomucen,16.05
Jan Nepomucen,21.05
Heladiusz,08.01
Heladiusz,18.02
Heladiusz,08.05
Heladiusz,25.05
Heladiusz,28.05
Ernest,12.01
Ernest,13.03
Ernest,27.03
Ernest,13.07
Sofronia,10.05
Janusz,24.06
Janusz,21.11
Barbara,04.12
Fulgenty,01.01
Ludomił,20.02
Wergilia,05.03
Wergilia,27.11
Stylian,26.11
Jarosław,21.01
Jarosław,25.04
Jarosław,07.06
Jarosław,27.11
Nilus,20.02
Nilus,19.09
Nilus,26.09
Nilus,12.11
Celestyna,18.03
Celestyna,06.04
Celestyna,12.06
Jaromir,11.04
Jaromir,28.05
Jaromir,24.09
Aldhelm,25.05
Artemiusz,06.06
Artemiusz,20.10
Miłowan,25.01
Emma,31.01
Emma,08.04
Emma,19.04
Emma,20.04
Emma,29.06
Emma,03.12
Emma,28.12
Apollina,21.04
Norberta,06.06
Daria,21.09
Daria,22.09
Daria,25.10
Tomir,24.09
Kleofas,25.09
Lewin,14.11
Sędziwoj,18.01
Sędziwoj,08.11
Wrociwoj,26.12
Cieszmir,13.05
Sieciesław,22.08
Haralampia,16.03
Haralampia,03.07
Haralampia,13.09
Nikander,15.03
Nikander,17.06
Nikander,07.11
Jozafata,25.03
Kanizjusz,27.04
Nasława,10.07
Parys,05.08
Imbram,22.09
Paraskewa,14.10
German,07.03
German,12.05
German,28.05
German,07.07
German,31.07
German,06.09
German,10.10
German,23.10
German,30.10
German,03.11
German,13.11
Konradyn,01.11
Polikarp,08.02
Polikarp,23.02
Polikarp,07.12
Marotas,27.03
Lambert,14.04
Lambert,16.04
Lambert,26.05
Lambert,22.08
Lambert,17.09
Myślibor,18.05
Myślibor,14.06
Myślibor,28.09
Wiesław,22.05
Wiesław,07.06
Wiesław,21.11
Wiesław,09.12
Budziwoj,23.05
Budziwoj,26.09
Apollo,10.06
